,title,price,year,link,brand,age
0,a sweet sedan avalon xle plus,24000,,https://charlottesville.craigslist.org/cto/d/charlottesville-sweet-sedan-avalon-xle/7818676493.html,missing,
1,"1998 gmc sierra 1500 sl truck auto rwd <103,000 miles",6950,1998.0,https://charlottesville.craigslist.org/cto/d/louisa-1998-gmc-sierra-1500-sl-truck/7818492010.html,gmc,27.0
2,gmc sierra 3500hd 6.6 duramax diesel dually,26000,,https://charlottesville.craigslist.org/cto/d/charlottesville-gmc-sierra-3500hd-66/7818481465.html,gmc,
3,2007 chrysler sebring,2900,2007.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2007-chrysler-sebring/7818345424.html,missing,18.0
4,2012 nissan versa sl,3500,2012.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2012-nissan-versa-sl/7818255369.html,missing,13.0
5,ford e-350 2003 quigley 4x4 ambulance camper van,55000,2003.0,https://charlottesville.craigslist.org/cto/d/charlottesville-ford-quigley-4x4/7818176803.html,ford,22.0
6,2012 lexus rx450h awd,10950,2012.0,https://charlottesville.craigslist.org/cto/d/henrico-2012-lexus-rx450h-awd/7818114210.html,lexus,13.0
7,2008 toyota rav4,5000,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-toyota-rav4/7818070103.html,toyota,17.0
8,2013 toyota avalon,17000,2013.0,https://charlottesville.craigslist.org/cto/d/iron-gate-2013-toyota-avalon/7817843689.html,toyota,12.0
9,2014 subaru outback premium awd or 2009 honda fit sport,3900,2014.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2014-subaru-outback/7817681802.html,subaru,11.0
10,1963 /1965 triumph tr4 convertible,2250,1963.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-triumph-tr4-convertible/7817663151.html,missing,62.0
11,2017 hyundai santa fe sports,9200,2017.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2017-hyundai-santa-fe/7817612179.html,missing,8.0
12,1989 xj wrangler,5999,1989.0,https://charlottesville.craigslist.org/cto/d/white-hall-1989-xj-wrangler/7817049789.html,missing,36.0
13,2013 jeep grand cherokee - overland - 4wd (replaced motor),9500,2013.0,https://charlottesville.craigslist.org/cto/d/crozet-2013-jeep-grand-cherokee/7816766515.html,jeep,12.0
14,1998 dodge 3500 4wd diesel pick-up,18900,1998.0,https://charlottesville.craigslist.org/cto/d/nellysford-1998-dodge-wd-diesel-pick-up/7816698166.html,dodge,27.0
15,2004 lexus sc 430 convertible,11400,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2004-lexus-sc-430/7816110681.html,lexus,21.0
16,1989 chevrolet corvette convertible,3500,1989.0,https://charlottesville.craigslist.org/cto/d/scottsville-1989-chevrolet-corvette/7816061514.html,chevrolet,36.0
17,1957 chevrolet bel air 2 door hardtop,22500,1957.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-1957-chevrolet-bel-air/7815898142.html,chevrolet,68.0
18,2003 ford escape,5500,2003.0,https://charlottesville.craigslist.org/cto/d/waynesboro-2003-ford-escape/7815794939.html,ford,22.0
19,mechanic/welder special,4800,,https://charlottesville.craigslist.org/cto/d/stanardsville-mechanic-welder-special/7815534257.html,missing,
20,2014 nissan pathfinder platinum,4500,2014.0,https://charlottesville.craigslist.org/cto/d/scottsville-2014-nissan-pathfinder/7815332321.html,missing,11.0
21,nissan frontier pickup,3800,,https://charlottesville.craigslist.org/cto/d/earlysville-nissan-frontier-pickup/7815249133.html,missing,
22,2011 bmw 335i xdrive sedan,8000,2011.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2011-bmw-335i-xdrive/7815195173.html,bmw,14.0
23,2012 honda civic lx,5900,2012.0,https://charlottesville.craigslist.org/cto/d/henrico-2012-honda-civic-lx/7814947011.html,honda,13.0
24,"2018 chevy silverado 4x4, ls, 84k miles",24900,2018.0,https://charlottesville.craigslist.org/cto/d/midlothian-2018-chevy-silverado-4x4-ls/7814857394.html,chevy,7.0
25,1994 chevy 454 5 speed,4450,1994.0,https://charlottesville.craigslist.org/cto/d/kents-store-1994-chevy-speed/7814772437.html,chevy,31.0
26,1995 f-250,7000,1995.0,https://charlottesville.craigslist.org/cto/d/stanardsville-1995-250/7814668118.html,missing,30.0
27,1989 chevrolet cavalier,3000,1989.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-1989-chevrolet-cavalier/7814450412.html,chevrolet,36.0
28,"mitsubishi eclipse gt, 2008",7300,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-mitsubishi-eclipse-gt/7814419869.html,mitsubishi,17.0
29,bmw i8 - excellent condition,44000,,https://charlottesville.craigslist.org/cto/d/haywood-bmw-i8-excellent-condition/7813341345.html,bmw,
30,2006 toyota matrix for sale,2199,2006.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2006-toyota-matrix-for/7813186890.html,toyota,19.0
31,1989 chevrolet silverado 4x4,14500,1989.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1989-chevrolet/7812723841.html,chevrolet,36.0
32,2019 audi q8 quattro suv,37000,2019.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2019-audi-q8-quattro-suv/7812715010.html,audi,6.0
33,2006 honda pilot exl fwd,4700,2006.0,https://charlottesville.craigslist.org/cto/d/henrico-2006-honda-pilot-exl-fwd/7812693427.html,honda,19.0
34,1961 mg mga roadster,3250,1961.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-1961-mg-mga-roadster/7812638637.html,missing,64.0
35,1957 international a series pickup truck,5250,1957.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-1957-international/7812638531.html,missing,68.0
36,2009 bmw 328i coupe,7900,2009.0,https://charlottesville.craigslist.org/cto/d/barboursville-2009-bmw-328i-coupe/7812584735.html,bmw,16.0
37,1993 jeep wrangler 4x4 sport utility 2d.,9500,1993.0,https://charlottesville.craigslist.org/cto/d/waynesboro-1993-jeep-wrangler-4x4-sport/7812508575.html,jeep,32.0
38,2011 toyota tundra rock warrior,14000,2011.0,https://charlottesville.craigslist.org/cto/d/dyke-2011-toyota-tundra-rock-warrior/7812277787.html,toyota,14.0
39,great work van 2003 chevy express 3500,5500,2003.0,https://charlottesville.craigslist.org/cto/d/quinque-great-work-van-2003-chevy/7812200801.html,chevy,22.0
40,2005 chrysler town & country,2000,2005.0,https://charlottesville.craigslist.org/cto/d/quinque-2005-chrysler-town-country/7812199973.html,missing,20.0
41,2010 honda crv lx,6500,2010.0,https://charlottesville.craigslist.org/cto/d/henrico-2010-honda-crv-lx/7811693663.html,honda,15.0
42,2018 mercedes sprinter 2500 crew van,62800,2018.0,https://charlottesville.craigslist.org/cto/d/barboursville-2018-mercedes-sprinter/7811369567.html,missing,7.0
43,sold haters  1992 honda accord gas sipper sold,2300,1992.0,https://charlottesville.craigslist.org/cto/d/charlottesville-sold-haters-1992-honda/7811342457.html,honda,33.0
44,ford pickup 2001,3500,2001.0,https://charlottesville.craigslist.org/cto/d/waynesboro-ford-pickup-2001/7811199292.html,ford,24.0
45,2015 honda fit,8749,2015.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2015-honda-fit/7810838940.html,honda,10.0
